key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-879386511,Carbon dioxide sequestration in terrestrial ecosystems,1993,1,1,,,3,1,,"Wisniewski, J., Dixon, R.K., Kinsman, J.D., Sampson, R.N., Lugo, A.E.",,,,,,"RAYYAN-INCLUSION: {""Danielle""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban",,Carbon Dioxide,,
rayyan-879386512,Climate Change and Forest Values,2014,1,1,,,57,,,"Wear, D.N., Joyce, L.A., Butler, B.J., Gaither, C.J., Nowak, D.J., Stewart, S.I.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary",,Trees,,
rayyan-879386513,The potential for carbon sequestration on degraded lands within north central montana,2009,1,1,,,3,,,"Watts, J.D.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest management",,"",,
rayyan-879386514,Geospatial methods provide timely and comprehensive urban forest information,2007,1,1,,,6,1,,"Ward, K.T., Johnson, G.R.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary",,Trees,,
rayyan-879386515,Quantifying changes in multiple ecosystem services during 1992-2012 in the Sanjiang Plain of China,2015,1,1,,,514,,,"Wang, Z., Mao, D., Li, L., Jia, M., Dong, Z., Miao, Z., Ren, C., Song, C.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban",,China,,
rayyan-879386516,Estimation Method of Carbon Stock Per Unit Area Based on Forest Image | 基于林内图像的单位面积碳储量估计方法,2021,1,1,,,57,1,,"Wang, X., Chen, Z., Guan, Q., Liu, J., Wang, T., Yuan, Y.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: inaccessible",,Trees,,
rayyan-879386517,The impact of land use change on the temporospatial variations of ecosystems services value in China and an optimized land use solution,2014,1,1,,,44,,,"Wang, W., Guo, H., Chuai, X., Dai, C., Lai, L., Zhang, M.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban,not forest management",,China,,
rayyan-879386518,Evaluation on relative carbon efficiency of regional planning land use structure,2010,1,1,,,26,7,,"Wang, J., Huang, X., Zheng, Z.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: inaccessible",,"",,
rayyan-879386519,Voxel-based approach for estimating urban tree volume from terrestrial laser scanning data,2012,1,1,,,39,,,"Vonderach, C., Voegtle, T., Adler, P.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest management",,Trees,,
rayyan-879386520,Building climate resilient cities in the global South: assessing city adaptation plans in India,2021,1,1,,,110,5,,"Unnikrishnan, H., Nagendra, H.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate",,India,,
rayyan-879386521,Geo-ML Enabled Above Ground Biomass and Carbon Estimation for Urban Forests,2022,1,1,,,1528,,,"Uniyal, S., Chaurasia, K., Purohit, S., Rao, S.S., Mahammood, V.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary",,Trees,,
rayyan-879386522,Towards a greener university: Perceptions of landscape services in campus open space,2020,1,1,,,12,15,,"Tudorie, C.A.-M., Vallés-Planells, M., Gielen, E., Arroyo, R., Galiana, F.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,"",,
rayyan-879386523,Legacy effects of highway construction disturbance and vegetation management on carbon dynamics in forested urban verges,2012,1,1,,,,,,"Trammell, T.L.E., Carreiro, M.M.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary",,Vegetables;Trees,,
rayyan-879386524,Resilient landscapes in Mediterranean urban areas: Understanding factors influencing forest trends,2017,1,1,,,156,,,"Tomao, A., Quatrini, V., Corona, P., Ferrara, A., Lafortezza, R., Salvati, L.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,"",,
rayyan-879386526,Designing restoration strategies for degraded forest ecosystems: Increasing resiliency in human-dominated landscapes,2016,1,1,,,,,,"Tapnio, C.J.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: inaccessible",,Humanities;Humanism;Humans;Trees,,
rayyan-879386527,Urban landscapes for carbon sequestration in climate changing scenario,2013,1,1,,,,,,"Sumangala, H.P.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary",,"",,
rayyan-879386529,"Urban net primary production: Concepts, field methods, and Baltimore, Maryland, USA case study",2022,1,1,,,,,,"Sonti, N.F., Groffman, P.M., Nowak, D.J., Henning, J.G., Avolio, M.L., Rosi, E.J.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary,not climate solution",,Baltimore;Maryland,,
rayyan-879386530,"RECOGNIZING THE ROLE OF FORESTS IN URBAN CLIMATE MITIGATION AND ADAPTATION: STATE OF THE ART, LESSONS LEARNED, AND THE WAY FORWARD",2020,1,1,,,13,62,,"Soloviy, V., Dubovich, I., Kuleshnyk, T.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: relevant review",,Trees,,
rayyan-879386531,"The cultural landscape of Sintra, a UNESCO World Heritage Site—The balance between forest restoration and carbon stock",2016,1,1,,,20,,,"Soares, P., Pina, J.P., Oliveira, N., Tomé, M.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban",,Trees,,
rayyan-879386532,Estimate of the carbon dioxide uptake by the urban green space for a carbon-neutral Sejong city in Korea,2011,1,1,,,2,1,,"Shin, S., Tae, S., Lee, B.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: inaccessible",,Carbon Dioxide;Korea,,
rayyan-879386533,Progress in studies on carbon sequestration of urban vegetation,2016,1,1,,,52,6,,"Shi, Y., Ge, Y., Jin, H., Ren, Y., Qu, Z., Bao, Z., Chang, J.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: foreign language",,Vegetables,,
rayyan-879386534,The role of urban microclimates in reducing CO 2 emssions from cities,2011,1,1,,,18,,,"Sharples, S., Fahmy, M., Hathway, A.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,"",,
rayyan-879386535,"Nature-based solutions for the contemporary city/Re-naturing the city/Reflections on urban landscapes, ecosystems services and nature-based solutions in cities/Multifunctional green infrastructure and climate change adaptation: brownfield greening as an adaptation strategy for vulnerable communities?/Delivering green infrastructure through planning: insights from practice in Fingal, Ireland/Planning for biophilic cities: from theory to practice",2016,1,1,,,17,2,,"Scott, M., Lennon, M., Haase, D., Kazmierczak, A., Clabby, G., Beatley, T.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: relevant review",,Ireland,,
rayyan-879386536,The climate mitigation potential of managed versus unmanaged spruce and beech forests in Central Europe,2019,1,1,,,,,,"Schulze, E.D., Stupak, I., Hessenmöller, D.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary",,Europe;Trees,,
rayyan-879386537,Modeling ecosystem services of trees based on urban tree cadastres | Modellierung ausgewählter Ökosystemleistungen von Stadtbäumen auf Basis kommunaler Baumkatasterdaten,2016,1,1,,,90,2,,"Scholz, T., Hof, A., Schmitt, T.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: inaccessible,foreign language",,Trees;Ecosystem,,
rayyan-879386539,Nature-based solutions for climate change mitigation and adaptation - Benefits of nature conservation measures,2018,1,1,,,93,12,,"Schlegelmilch, K., Bonn, A., Schröder, A., Schröter-Schlaack, C., Hansjürgens, B.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: relevant review",,"",,
rayyan-879386540,Analyzing urban landscape with City Biodiversity Index for sustainable urban growth,2018,1,1,,,190,8,,"Sahani, S., Raghavaswamy, V.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,"",,
rayyan-879386541,"Moving beyond """"mitigation and adaptation"""": examining climate change responses in New Zealand",2014,1,1,,,19,7,,"Russell, S.L., Greenaway, A., Carswell, F., Weaver, S.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest management",,New Zealand,,
rayyan-879386542,"Survival, reproduction, and recruitment of woody plants after 14 years on a reforested landfill",1992,1,1,,,16,2,,"Robinson, G.R., Handel, S.N., Schmalhofer, V.R.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,"",,
rayyan-879386543,"Effects of land use and land cover change on ecosystem services in the Koshi River Basin, Eastern Nepal",2019,1,1,,,38,,,"Rimal, B., Sharma, R., Kunwar, R., Keshtkar, H., Stork, N.E., Rijal, S., Rahman, S.A., Baral, H.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban",,Nepal,,
rayyan-879386544,"Corrigendum to “Carbon pools of Berlin, Germany: Organic carbon in soils and aboveground in trees” [Urban For. Urban Green. 54 (2020) 126777](S161886672030594X)(10.1016/j.ufug.2020.126777)",2021,1,1,,,65,,,"Richter, S., Haase, D., Thestorf, K., Makki, M.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: inaccessible",,Germany,,
rayyan-879386545,Mitigation and adaptation synergy in forest sector,2007,1,1,,,12,5,,"Ravindranath, N.H.",,,,,,"RAYYAN-INCLUSION: {""Danielle""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban",,Trees,,
rayyan-879386546,A national and international analysis of changing forest density,2011,1,1,,,6,5,,"Rautiainen, A., Wernick, I., Waggoner, P.E., Ausubel, J.H., Kauppi, P.E.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban",,Trees,,
rayyan-879386547,Biomass estimates from urban green space in Bekasi City using Sentinel imageries,2021,1,1,,,747,1,,"Putra, R.D., Shidiq, I.P.A., Rokhmatuloh",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate",,Imagery (Psychotherapy);Biomass,,
rayyan-879386548,"Crown size and growing space requirement of common tree species in urban centres, parks, and forests",2015,1,1,,,14,3,,"Pretzsch, H., Biber, P., Uhl, E., Dahlhausen, J., Rötzer, T., Caldentey, J., Koike, T., van Con, T., Chavanne, A., Seifert, T., Toit, B.D., Farnden, C., Pauleit, S.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,Trees,,
rayyan-879386549,A Tree Selection Survey of Tree City USA Designated Cities in the Pacific Northwest,2020,1,1,,,46,5,,"Petter, J., Ries, P., D'Antonio, A., Contreras, R.",,,,,,"RAYYAN-INCLUSION: {""Danielle""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,Northwestern United States,,
rayyan-879386550,Quantifying uncertainty in forest measurements and models: Approaches and applications,2015,1,1,,,46,3,,"Paré, D., Gertner, G.Z., Bernier, P.Y., Yanai, R.D.",,,,,,"RAYYAN-INCLUSION: {""Danielle""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: inaccessible",,"",,
rayyan-879386552,Modeling and simulating urban afforestation: An alternative for urban climate change mitigation,2020,1,1,,,,,,"Ortigoza Capetillo, G.M., Lorandi Medina, A.P., Neri, I.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest management",,"",,
rayyan-879386553,Urban trees and forests of the Chicago Region,2014,1,1,,,,,,"Nowak, D.J., Hoehn, R.E., Bodine, A.R., Crane, D.E., Dwyer, J.F., Bonnewell, V., Watson, G.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: relevant review",,Chicago;Trees,,
rayyan-879386554,Urban Biodiversity and Climate Change,2010,1,1,,,,,,"Nowak, D.J.",,,,,,"RAYYAN-INCLUSION: {""Danielle""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,"",,
rayyan-879386555,Effects of urban tree management and species selection on atmospheric carbon dioxide,2002,1,1,,,28,3,,"Nowak, D.J., Stevens, J.C., Sisinni, S.M., Luley, C.",,,,,,"RAYYAN-INCLUSION: {""Danielle""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary",,Carbon Dioxide,,
rayyan-879386557,Green ecosystem services: TEV as tool to take decision for urban Planning,2018,1,1,,,2018,2,,"Neonato, F., Colaninno, B., Tomasinelli, F.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: inaccessible",,"",,
rayyan-879386558,Mapping and assessment of urban ecosystem condition and services using integrated index of spatial structure,2017,1,1,,,2,,,"Nedkov, S., Zhiyanski, M., Dimitrov, S., Borisova, B., Popov, A., Ihtimanski, I., Yaneva, R., Nikolov, P., Bratanova-Doncheva, S.",,,,,,"RAYYAN-INCLUSION: {""Danielle""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,"",,
rayyan-879386559,Carbon uptake and air pollution mitigation of different Evergreen shrub species,2016,1,1,,,42,5,,"Mori, J., Fini, A., Burchi, G., Ferrini, F.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,"",,
rayyan-879386560,"Modeling the spatial distribution of the current and future ecosystem services of urban tree planting in Chicopee and Fall River, Massachusetts",2021,1,1,,,66,,,"Moody, R., Geron, N., Healy, M., Rogan, J., Martin, D.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,Massachusetts,,
rayyan-879386561,Assessing potential urban tree planting sites in the Piedmont of the United States: A comparison of methods,2013,1,1,,,53,1,,"Merry, K., Siry, J., Bettinger, P., Bowker, J.M.",,,,,,"RAYYAN-INCLUSION: {""Danielle""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,United States,,
rayyan-879386562,"Adaptation to climate change in urban areas: Climate-greening London, Rotterdam, and Toronto",2011,1,1,,,2,2,,"Mees, H.-L.P., Driessen, P.P.J.",,,,,,"RAYYAN-INCLUSION: {""Danielle""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,"",,
rayyan-879386563,Environmental benefits of trees in urban areas,2005,1,1,,,,,,"McPherson, G.E., Geiger, J.",,,,,,"RAYYAN-INCLUSION: {""Danielle""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary",,Trees,,
rayyan-879386566,Using urban forests for energy efficiency and carbon storage,1994,1,1,,,92,10,,"McPherson, E.G.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary",,Trees,,
rayyan-879386567,"Local assessment of New York City: Biodiversity, green space, and ecosystem services",2013,1,1,,,,,,"McPhearson, T., Maddox, D., Gunther, B., Bragdon, D.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary",,New York City,,
rayyan-879386568,A synthesis of current knowledge on forests and carbon storage in the United States,2011,1,1,,,21,6,,"McKinley, D.C., Ryan, M.G., Birdsey, R.A., Giardina, C.P., Harmon, M.E., Heath, L.S., Houghton, R.A., Jackson, R.B., Morrison, J.F., Murray, B.C., Pataki, D.E., Skog, K.E.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: duplicate",,United States;Trees,,
rayyan-879386569,Climate change and adaptation at regional and local scale,2010,1,1,,,3,,,"Matzarakis, A.",,,,,,"RAYYAN-INCLUSION: {""Danielle""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest management",,"",,
rayyan-879386570,Analysis of impact of city forest utilization to improvement of envirovment qualty in Serang City,2018,1,1,,,74,,,"Masyruroh, A., Hartono, D.M., Haeruman, H., Suganda, E.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,"",,
rayyan-879386571,Urban Forests and Green Areas as Nature‐Based Solutions for Brownfield Redevelopment: A Case Study from Brescia Municipal Area (Italy),2022,1,1,,,13,3,,"Masiero, M., Biasin, A., Amato, G., Malaggi, F., Pettenella, D., Nastasio, P., Anelli, S.",,,,,,"RAYYAN-INCLUSION: {""Danielle""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary",,Italy,,
rayyan-879386573,Model errors in tree biomass estimates computed with an approximation to a missing covariance matrix,2015,1,1,,,10,1,,"Magnussen, S., Carillo Negrete, O.I.",,,,,,"RAYYAN-INCLUSION: {""Danielle""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,Trees,,
rayyan-879386574,Progress in the study on the impact of land-use change on regional carbon sources and sinks,2015,1,1,,,35,17,,"Ma, X., Wang, Z.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: inaccessible",,"",,
rayyan-879386576,Assessment of urban forest economic benefits based on i-Tree model: Research progress,2011,1,1,,,30,4,,"Ma, N., He, X.-Y., Shi, S.-F., Chen, W.",,,,,,"RAYYAN-INCLUSION: {""Danielle""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: inaccessible",,"",,
rayyan-879386577,Dynamics of spatial relationships among ecosystem services and their determinants: Implications for land use system reform in Northwestern China,2021,1,1,,,102,,,"Lyu, R., Clarke, K.C., Zhang, J., Feng, J., Jia, X., Li, J.",,,,,,"RAYYAN-INCLUSION: {""Danielle""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest management",,China,,
rayyan-879386578,Impacts of Urban Expansion on Terrestrial Carbon Storage in China,2019,1,1,,,53,12,,"Liu, X., Wang, S., Wu, P., Feng, K., Hubacek, K., Li, X., Sun, L.",,,,,,"RAYYAN-INCLUSION: {""Danielle""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,China,,
rayyan-879386579,"Quantifying impacts of land-use/cover change on urban vegetation gross primary production: A case study of Wuhan, China",2018,1,1,,,10,3,,"Liu, S., Du, W., Su, H., Wang, S., Guan, Q.",,,,,,"RAYYAN-INCLUSION: {""Danielle""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,China;Vegetables,,
rayyan-879386580,Ecological benefit evaluation of urban forests in Shenyang City based on QuickBird image and CITYgreen model,2008,1,1,,,19,9,,"Liu, C.-F., He, X.-Y., Chen, W., Zhao, G.-L., Li, L., Xu, W.-D.",,,,,,"RAYYAN-INCLUSION: {""Danielle""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: foreign language",,"",,
rayyan-879386581,Study of city forest carbon-sink benefit based on ecological alternation idea,2016,1,1,,,9,4,,"Li-Ping, L., Hao, L.",,,,,,"RAYYAN-INCLUSION: {""Danielle""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,"",,
rayyan-879386582,Ecology: Global decline in large old trees,2012,1,1,,,338,6112,,"Lindenmayer, D.B., Laurance, W.F., Franklin, J.F.",,,,,,"RAYYAN-INCLUSION: {""Danielle""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban",,Trees,,
rayyan-879386583,Ecosystem Service-Based Sensitivity Analyses of i-Tree Eco,2020,1,1,,,46,4,,"Lin, J., Krol, C.N., Nowak, D.J.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest management",,Trees;Ecosystem,,
rayyan-879386584,"Analyzing land-use change scenarios for ecosystem services and their trade-offs in the ecological conservation area in Beijing, China",2020,1,1,,,17,22,,"Li, Z., Cheng, X., Han, H.",,,,,,"RAYYAN-INCLUSION: {""Danielle""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,China,,
rayyan-879386585,Influence of changes in land use/cover on carbon effect in Chang-Zhu-Tan urban agglomeration,2016,1,1,,,32,4,,"Li, T., Yang, Z.-J., Gan, D.-X., Wang, Z.-Y., Chen, X., Qi, Z.-X.",,,,,,"RAYYAN-INCLUSION: {""Danielle""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: inaccessible",,"",,
rayyan-879386586,Carbon sequestration capacity of Beijing arbor forest based on NbS | 基于NbS的北京市乔木林固碳能力分析,2021,1,1,,,43,6,,"Li, C., Zhu, J., Zhang, F., Li, Q., Tian, Y., Xiao, W., Chen, W.",,,,,,"RAYYAN-INCLUSION: {""Danielle""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: foreign language",,Trees,,
rayyan-879386587,One of the world's largest regreening programs promotes healthy tree growth and nutrient accumulation up to 40-years post restoration,2022,1,1,,,507,,,"Levasseur, P.A., Galarza, J., Watmough, S.A.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban",,Trees,,
rayyan-879386588,Nature in the Urban Context: Renaturalisation as an Important Dimension of Urban Resilience and Planning | La naturaleza en el contexto urbano: La renaturalización como una dimensión importante de la resistencia y la planificación urbana,2021,1,1,,,26,,,"Lehmann, S.",,,,,,"RAYYAN-INCLUSION: {""Danielle""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest management",,"",,
rayyan-879386589,Strategic planning for Taipei sponge city,2018,1,1,,,191,1,,"Lee, Y.-J., Lin, S.-Y., Pong, C.-S., Lin, S.-B.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest management",,"",,
rayyan-879386590,Carbon sequestration in urban ecosystems,2012,1,1,,,,,,"Lal, R., Augustin, B.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary",,"",,
rayyan-879386591,Climate change mitigation by managing the terrestrial biosphere,2012,1,1,,,,,,"Lal, R.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary",,"",,
rayyan-879386592,Urban ecosystems and climate change,2012,1,1,,,,,,"Lal, R.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary",,"",,
rayyan-879386593,Facing Climate Change: Urban Gardening and Sustainable Agriculture,2020,1,1,,,,,,"Koriesh, E.M., Abo-Soud, I.H.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary",,"",,
rayyan-879386594,"Assessment of blue and green infrastructure solutions in shaping urban public spaces—spatial and functional, environmental, and social aspects",2021,1,1,,,13,19,,"Kimic, K., Ostrysz, K.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary,not climate solution",,"",,
rayyan-879386596,Urban sustainability in the US: Cities take action,2018,1,1,,,,,,"Keeley, M., Benton-Short, L.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary",,"",,
rayyan-879386597,Remote sensing assessment of carbon storage by urban forest,2014,1,1,,,18,1,,"Kanniah, K.D., Muhamad, N., Kang, C.S.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate",,"",,
rayyan-879386598,"Carbon storage and tree diversity in the urban vegetation of Dhaka city, Bangladesh: a study based on intensive field investigation",2020,1,1,,,42,2,,"Jaman, S., Zhang, X., Islam, F.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate",,Bangladesh;Vegetables;Trees,,
rayyan-879386599,Protecting climate with forests,2008,1,1,,,3,4,,"Jackson, R.B., Randerson, J.T., Canadell, J.G., Anderson, R.G., Avissar, R., Baldocchi, D.D., Bonan, G.B., Caldeira, K., Diffenbaugh, N.S., Field, C.B., Hungate, B.A., Jobbágy, E.G., Kueppers, L.M., Nosetto, M.D., Pataki, D.E.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban,not primary",,Trees,,
rayyan-879386600,Green streets to serve urban sustainability: Benefits and typology,2019,1,1,,,11,22,,"Im, J.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,"",,
rayyan-879386601,"Hotspots of pest-induced US urban tree death, 2020–2050",2022,1,1,,,,,,"Hudgins, E.J., Koch, F.H., Ambrose, M.J., Leung, B.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,Trees,,
rayyan-879386602,"Assessment of the impact of land use changes on net primary productivity using human appropriation of net primary productivity in anji, china",2021,1,1,,,19,6,,"Huang, Y., Chen, S.L., Jiang, H., Chen, W.J., Mo, X.H.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban",,Humanities;Humanism;Humans;China,,
rayyan-879386603,"How to balance ecosystem services and economic benefits? – A case study in the Pearl River Delta, China",2020,1,1,,,271,,,"Hu, M., Wang, Y., Xia, B., Jiao, M., Huang, G.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest management",,China,,
rayyan-879386604,"Attractive, climate-adapted and sustainable? Public perception of non-native planting in the designed urban landscape",2017,1,1,,,164,,,"Hoyle, H., Hitchmough, J., Jorgensen, A.",,,,,,"RAYYAN-INCLUSION: {""Danielle""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,"",,
rayyan-879386605,Long-term cumulative impacts of windthrow and subsequent management on tree species composition and aboveground biomass: A simulation study considering regeneration on downed logs,2021,1,1,,,502,,,"Hotta, W., Morimoto, J., Haga, C., Suzuki, S.N., Inoue, T., Matsui, T., Owari, T., Shibata, H., Nakamura, F.",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,Regeneration;Trees,,
