key,title,journal,authors,notes
rayyan-527597316,Conserving Biodiversity in Urbanizing Areas: Nontraditional Views from a Bird’s Perspective,Cities and the Environment (CATE),"Marzluff, John and Rodewald, Amanda","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary,relevant review"
rayyan-364026292,The seven lamps of planning for biodiversity in the city,CITIES,"Parris, Kirsten M. and Amati, Marco and Bekessy, Sarah A. and Dagenais, Danielle and Fryd, Ole and Hahs, Amy K. and Hes, Dominique and Imberger, Samantha J. and Livesley, Stephen J. and Marshall, Adrian J. and Rhodes, Jonathan R. and Threlfall, Caragh G. and Tingley, Reid and van der Ree, Rodney and Walsh, Christopher J. and Wilkerson, Marit L. and Williams, Nicholas S. G.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary,not bird success"
rayyan-364026272,Long-term trends in bird populations: a review of patterns and potential drivers in North America and Europe,ACTA ORNITHOLOGICA,"Reif, Jiri","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary,inaccessible"
rayyan-364025421,"Degradation, urbanization, and restoration: A review of the challenges and future of conservation on the Korean Peninsula",BIOLOGICAL CONSERVATION,"Lee, Sang-Don and Miller-Rushing, Abraham J.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary"
rayyan-364025507,"Falcon genomics in the context of conservation, speciation, and human culture",ECOLOGY AND EVOLUTION,"Wilcox, Justin J. S. and Boissinot, Stephane and Idaghdour, Youssef","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary"
rayyan-364025678,Improving approaches to the analysis of functional and taxonomic biotic homogenization: beyond mean specialization,JOURNAL OF ECOLOGY,"Gosselin, Frederic","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary"
rayyan-364026085,A framework for urban-woodland naturalization in Canada,ENVIRONMENTAL REVIEWS,"Toni, Sydney A. and Duinker, Peter N.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary"
rayyan-364026241,Conservation value of small reserves,CONSERVATION BIOLOGY,"Volenec, Zoe M. and Dobson, Andrew P.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary"
rayyan-364026683,HABITAT URBANIZATION AND ITS EFFECTS ON BIRDS,ACTA ZOOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE,"Seress, Gabor and Liker, Andras","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary"
rayyan-364026901,"Changes in vegetation, avifauna, and small mammals in a suburban habitat",,"Mackin-Rogalska, R., Pinowski, J., Solon, J., Wojcik, Z.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary"
rayyan-364026921,Interspecific conflict structures urban avian assemblages,,"Lees, A.C.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary"
rayyan-364026976,Trends in long-term urban bird research,,"Fidino, M., Magle, S.B.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary"
rayyan-364027020,"Corrigendum to “Effects of urbanization on bird migration” [Biol. Conserv. 2020, 244, 108423 doi: j.biocon.2020.108423] (Biological Conservation (2020) 244, (S0006320719317240), (10.1016/j.biocon.2020.108423))",,"Bonnet-Lebrun, A.-S., Manica, A., Rodrigues, A.S.L.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary"
rayyan-364027032,Urban hymns: How urban environments affect bird populations and avian singing behavior,,"Barnett, C.A.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary"
rayyan-527597282,When Good Animals Love Bad Habitats: Ecological Traps and the Conservation of Animal Populations,Conservation Biology,"Battin, James","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary"
rayyan-527597294,Towards an EU research and innovation policy agenda for nature-based solutions & re-naturing cities: final report of the Horizon 2020 expert group on 'Nature based solutions and re naturing cities' : (full version),,Directorate-General for Research and Innovation (European Commission),"RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary"
rayyan-527597297,The significance of private gardens for bird conservation,Bird Conservation International,"Cannon, Andrew","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary"
rayyan-527597313,"Birds in Urban Ecosystems: Population Dynamics, Community Structure, Biodiversity, and Conservation",Urban Ecosystem Ecology,"Shochat, Eyal and Lerman, Susannah and Fernández-Juricic, Esteban","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary"
rayyan-364025606,Diet and feeding behavior of the critically endangered Yellow-crested Cockatoo (Cacatua sulphurea) in a nonnative urban environment,WILSON JOURNAL OF ORNITHOLOGY,"Wang, Sifeng and Ho, Yin and Chu, L. M.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364025609,"Nest site selection of the house crow (Corvus splendens), an urban invasive bird species in Singapore and implications for its management",LANDSCAPE AND URBAN PLANNING,"Soh, MCK and Sodhi, NS and Seoh, RKH and Brook, BW","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364025715,"Tolerant to humans? Assessment of alert and flight initiation distances of two bird species in relation to sex, flock size, and environmental characteristics",ETHOLOGY ECOLOGY \& EVOLUTION,"Garcia-Arroyo, Michelle and MacGregor-Fors, Ian","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364025787,"Ecological benefits of urban forestry: The case of Kerwa Forest Area (KFA), Bhopal, India",APPLIED GEOGRAPHY,"Dwivedi, Puneet and Rathore, Chinmaya S. and Dubey, Yogesh","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364025833,Effects of Land Cover on the Movement of Frugivorous Birds in a Heterogeneous Landscape,PLOS ONE,"Da Silveira, Natalia Stefanini and Niebuhr, Bernardo Br and ao S. and Muylaert, Renata de Lara and Ribeiro, Milton Cezar and Pizo, Marco Aurelio","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364025930,Plant-hummingbird interaction networks in urban areas: Generalization and the importance of trees with specialized flowers as a nectar resource for pollinator conservation,BIOLOGICAL CONSERVATION,"Maruyama, Pietro Kiyoshi and Bonizario, Camila and Marcon, Am and a Perin and D'Angelo, Giulia and da Silva, Monique Maianne and da Silva Neto, Edvaldo Nunes and Oliveira, Paulo Eugenio and Sazima, Ivan and Sazima, Marlies and Vizentin-Bugoni, Jeferson and dos Anjos, Luiz and Rui, Ana M. and Marcal Junior, Oswaldo","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364025940,Street trees reduce the negative effects of urbanization on birds,PLOS ONE,"de Castro Pena, Joao Carlos and Martello, Felipe and Ribeiro, Milton Cezar and Armitage, Richard A. and Young, Robert J. and Rodrigues, Marcos","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364025944,Demographic and spatial responses of resident bird populations to the arrival of migratory birds within an urban environment,POPULATION ECOLOGY,"Ramirez-Cruz, Gonzalo A. and Solano-Zavaleta, Israel and Mendez-Janovitz, Marcela and Zuniga-Vega, J. Jaime","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364025968,"The birds of Kent Ridge Park, Singapore",RAFFLES BULLETIN OF ZOOLOGY,"Lamont, AR","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364026012,The effects of landscape scale on greenery and traffic relationships with urban birds and butterflies,URBAN ECOSYSTEMS,"Chong, Kwek Yan and Teo, Siyang and Kurukulasuriya, Buddhima and Chung, Yi Fei and Giam, Xingli and Tan, Hugh T. W.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364026031,Habitat Features Rather Than Competition Explain the Distribution and Co-occurrence of Ardeidae in a Highly Urbanized Landscape,WATERBIRDS,"Zhang, Min and Hong, Yong-Mi and Castley, J. Guy and Zou, Fa-Sheng and Zhang, Qiang and Fan, Hong-Min and Sot-Chan and Leong, Kun-Fong","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364026058,Use of structural equation modeling to explore influences on perceptions of ecosystem services and disservices attributed to birds in Singapore,ECOSYSTEM SERVICES,"Leong, Rachel A. T. and Fung, Tze Kwan and Sachidhan and am, Uma and Drillet, Zuzana and Edwards, Peter J. and Richards, Daniel R.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364026099,Anthropogenic Nest Materials May Increase Breeding Costs for Urban Birds,FRONTIERS IN ECOLOGY AND EVOLUTION,"Suarez-Rodriguez, Monserrat and Montero-Montoya, ReginaD. and Macias Garcia, Constantino","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364026139,DECADAL CHANGES IN URBAN BIRD ABUNDANCE IN SINGAPORE,RAFFLES BULLETIN OF ZOOLOGY,"Chong, Kwek Yan and Teo, Siyang and Kurukulasuriya, Buddhima and Chung, Yi Fei and Rajathurai, Subaraj and Lim, Haw Chuan and Tan, Hugh T. W.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364026187,"Ecology, habitat and bird community structure at Oussudu lake: towards a strategy for conservation and management",AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,"Chari, KB and Abbasi, SA and Ganapathy, S","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364026193,Can human disturbance promote nestedness? Songbirds and noise in urban parks as a case study,LANDSCAPE AND URBAN PLANNING,"Antonio Gonzalez-Oreja, Jose and Andres De La Fuente-Diaz-Ordaz, Arturo and Hern and ez-Santin, Lorna and Bonache-Regidor, Carolina and Buzo-Franco, Daniela","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364026253,Not all green is as good: Different effects of the natural and cultivated components of urban vegetation on bird and butterfly diversity,BIOLOGICAL CONSERVATION,"Chong, Kwek Yan and Teo, Siyang and Kurukulasuriya, Buddhima and Chung, Yi Fei and Rajathurai, Subaraj and Tan, Hugh Tiang Wah","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364026320,An annotated checklist of the birds of Singapore,RAFFLES BULLETIN OF ZOOLOGY,"Keng, Wang Luan and Hails, Christopher J.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364026325,Relationships of area and noise with the distribution and abundance of songbirds in urban greenspaces,LANDSCAPE AND URBAN PLANNING,"Antonio Gonzalez-Oreja, Jose","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364026348,Differences in flight initiation distance (FID) between rural and urban populations of two species of Australian birds,BEHAVIOUR,"Davey, Sara and Massaro, Melanie and Freire, Rafael","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364026388,Large Terrestrial Bird Adapting Behavior in an Urbanized Zone,ANIMALS,"Alex and rino, Eduardo R. and Bogoni, Juliano A. and Navarro, Ana B. and Bovo, Alex A. A. and Goncalves, Rafael M. and Charters, Jacob D. and Domini, Juan A. and Ferraz, Katia M. P. M. B.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364026444,"Taxonomic, Phylogenetic and Functional Diversity of Bird Assemblages in Urban Green Spaces: Null Model Analyses, Temporal Variation and Ecological Drivers",FRONTIERS IN ECOLOGY AND EVOLUTION,"Nava-Diaz, Remedios and Zuria, Iriana and Pineda-Lopez, Ruben","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364026521,Influence of land cover features on avian community and potential conservation priority areas for biodiversity at a Ramsar site in India,ECOLOGICAL PROCESSES,"Barik, Souvik and Saha, Goutam Kumar and Mazumdar, Subhendu","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364026537,"Impact of Environmental and Disturbance Variables on Avian Community Structure along a Gradient of Urbanization in Jamshedpur, India",PLOS ONE,"Verma, Sushant Kumar and Das Murmu, Thakur","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364026571,Anthropogenic noise reduces bird species richness and diversity in urban parks,IBIS,"Perillo, Alyne and Mazzoni, Luiz G. and Passos, Luiza F. and Goulart, Vinicius D. L. R. and Duca, Charles and Young, Robert J.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364026579,"Diversity and structure of bird assemblages along urban-rural gradient in Kolkata, India",URBAN FORESTRY \& URBAN GREENING,"Pal, Mir and a and Pop, Paul and Mahapatra, Aksheeta and Bhagat, Radhika and Hore, Upamanyu","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364026603,"Living in the big city: Effects of urban land-use on bird community structure, diversity, and composition",LANDSCAPE AND URBAN PLANNING,"Ortega-Alvarez, Ruben and MacGregor-Fors, Ian","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364026618,"Avifaunal Richness and Abundance Along an Urban Rural Gradient with Emphasis on Vegetative and Anthropogenic Attributes in Tiruchirappalli, India",LANDSCAPE RESEARCH,"Menon, Manjula and Devi, Prashanthi M. and Rangaswamy, Mohanraj","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364026623,Nesting tree characteristics of heronry birds of urban ecosystems in peninsular India: implications for habitat management,CURRENT ZOOLOGY,"Roshnath, Ramesh and Sinu, Palatty Allesh","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364026670,"How would size, age, human disturbance, and vegetation structure affect bird communities of urban parks in different seasons?",JOURNAL OF ORNITHOLOGY,"Zhou, Daqing and Chu, L. M.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364026681,"Bird species assemblages across a rural urban gradient around Kolkata, India",URBAN ECOSYSTEMS,"Sengupta, Shruti and Mondal, Moumita and Basu, Parthiba","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364026701,Drivers of avian diversity in urban greenspaces in the Atlantic Forest,URBAN FORESTRY \& URBAN GREENING,"Zorzal, Ravel R. and Diniz, Pedro and de Oliveira, Rayane and Duca, Charles","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364026702,WHAT MATTERS MOST? RELATIVE EFFECT OF URBAN HABITAT TRAITS AND HAZARDS ON URBAN PARK BIRDS,ORNITOLOGIA NEOTROPICAL,"Ortega-Alvarez, Ruben and MacGregor-Fors, Ian","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364026707,Avian escape responses to observers wearing clothing of different colors: A comparison of urban and rural populations,GLOBAL ECOLOGY AND CONSERVATION,"Zhou, Bo and Liang, Wei","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364026762,Using variation partitioning techniques to quantify the effects of invasive alien species on native urban bird assemblages,BIOLOGICAL INVASIONS,"Antonio Gonzalez-Oreja, Jose and Zuria, Iriana and Carbo-Ramirez, Pilar and Michael Charre, Gregory","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364026772,Habitat traits that increase the probability of occupancy of migratory birds in an urban ecological reserve,ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,"Jaime Zuniga-Vega, J. and Solano-Zavaleta, Israel and Fern and a Saenz-Escobar, M. and Ramirez-Cruz, Gonzalo A.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364026826,Using bird-flower interactions to select native tree resources for urban afforestation: the case of Erythrina velutina,,"Silva, P.A., Silva, L.L., Brito, L.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364026851,"Temporal and spatial avian community composition in urban landscapes of the Bengaluru region, India",,"Rajashekara, S., Venkatesha, M.G.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364026858,"Ciconiiform birds breeding in Bhavnagar City, Gujarat: a study of their nesting and plea for conservation",,"Parasharya, B.M., Naik, R.M.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364026859,Habitat Use of Urban and Periurban Birds in a densely populated City of Eastern India,,"Panda, B.P., Mahapatra, B., Sahoo, A.A., Ray, S.S., Siba, P.P., Pradhan, A.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364026867,Fragmented urban areas: Can plants encourage birds in Jambi City urban space?,,"Novriyanti, N., Ihsan, I., Irawan, B., Wulan, C.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364026885,"Impact of Urbanization on House Sparrow Distribution: A Case Study from Greater Kolkata, India",,"Modak, B.K.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364026888,Temporal and spatial assemblages of invasive birds occupying the urban landscape and its gradient in a southern city of India,,"Menon, M., Mohanraj, R.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364026889,"Functional assemblages of birds in heterogeneous landscapes along an urban-rural gradient in Tiruchirappalli, India",,"Menon, M., Deviand, P., Mohanraj, R.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364026910,"Population assessment of the house crow, Corvus splendens, in Singapore",,"Low, G.W., Sadanandan, K.R., Rheindt, F.E., Zhen, T.H.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364026937,"Impact of urbanization on avian population and its status in Maharashtra state, India",,"Kale, M., Dudhe, N., Kasambe, R., Chakane, S., Bhattacharya, P.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364026960,Reconciling humans and birds when designing ecological corridors and parks within urban landscapes,,"Graviola, G.R., Ribeiro, M.C., Pena, J.C.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364026977,"Population abundance of Fluvicola nengeta (Linnaeus, 1766) (aves: Tyrannidae) in a urban park",,"Ferreira, G.Â., Fernandes, L.A., da Silva, A.M., Melo, C.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364026982,Influence of habitat features of urban streetscapes on richness and abundance of avian species,,"Dutta, S., Saha, G.K., Mazumdar, S.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364026984,"Avifaunal diversity on the Kasetsart University campus, Chalermphrakiat Sakon Nakhon province",,"Duengkae, P.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364026995,Birds of the man-made ecosystems: the plantations,,"Daniels, R.J.R., Hegde, M., Gadgil, M.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364027001,Changed avian assemblage of Savitribai Phule Pune University campus in last four decades,,"Choudaj, K., Wankhade, V.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364027021,The Influence of Landscape Patterns on the Bird Diversity of Four Urban Parks,,"Bonança, R.A., Dunning, J.B.B., da Silva, A.M.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364027025,"A study on avian fauna at Pipliyapala regional Park, Indore, Madhya Pradesh, India",,"Bhonsle, O., Shrivastava, C.S., Jain, R., Gaherwal, S.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-527597302,Fading from the forest: Bird community shifts related to urban park site-specific and landscape traits,Urban Forestry & Urban Greening,"MacGregor-Fors, Ian and Ortega-Álvarez, Rubén","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not in the specified geographical location"
rayyan-364026966,"Acoustic communication in the urban environment: Patterns, mechanisms, and potential consequences of avian song adjustments",,"Gil, D., Brumm, H.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest,relevant review"
rayyan-364027003,Bird diversities and their responses to urbanization in China,,"Chen, S., Wang, S.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest,relevant review"
rayyan-364026997,Birds of Paradise: A Game on Urban Bird Biodiversity Conservation,,"Cuartero, J.M.L., Lee, P.V.C., Villanueva, J.M.C.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest,not primary,not bird success"
rayyan-364025544,Novel predation opportunities in anthropogenic landscapes,ANIMAL BEHAVIOUR,"Fleming, Patricia A. and Bateman, Philip W.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest,not primary"
rayyan-364025723,Protected Area Risk Communication: Baseline Practices for Outdoor Recreation,JOURNAL OF OUTDOOR RECREATION EDUCATION AND LEADERSHIP,"Hutson, Garrett and Howard, Ryan","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest,not primary"
rayyan-364025817,New policies for a new wildlife: A road map for the wildlife manager of the future,BIOLOGICAL CONSERVATION,"Martinez-Abrain, A. and Jimenez, J. and Oro, D.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest,not primary"
rayyan-364026090,"Invasion, Competition, and Biodiversity Loss in Urban Ecosystems",BIOSCIENCE,"Shochat, Eyal and Lerman, Susannah B. and Anderies, John M. and Warren, Paige S. and Faeth, Stanley H. and Nilon, Charles H.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest,not primary"
rayyan-364026759,A global synthesis of the impacts of urbanization on bird dawn choruses,IBIS,"Marin-Gomez, Oscar H. and MacGregor-Fors, Ian","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest,not primary"
rayyan-364026920,Global patterns and drivers of urban bird diversity,,"Lepczyk, C.A., La Sorte, F.A., Aronson, M.F.J., Goddard, M.A., MacGregor-Fors, I., Nilon, C.H., Warren, P.S.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest,not primary"
rayyan-364026987,Attracting Interest in Urban Biodiversity with Bird Studies in Italy,,"Dinetti, M.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest,not primary"
rayyan-527597284,Sublethal consequences of urban life for wild vertebrates,Environmental Reviews,"Birnie-Gauvin, Kim and Peiman, Kathryn S. and Gallagher, Austin J. and de Bruijn, Robert and Cooke, Steven J.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest,not primary"
rayyan-527597287,When good animals love bad restored habitats: how maladaptive habitat selection can constrain restoration,Journal of Applied Ecology,"Hale, Robin and Swearer, Stephen E.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest,not primary"
rayyan-527597290,Evolution and behavioural responses to human-induced rapid environmental change,Evolutionary Applications,"Sih, Andrew and Ferrari, Maud C. O. and Harris, David J.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest,not primary"
rayyan-527597291,Behavioural responses to human-induced environmental change,Biological Reviews of the Cambridge Philosophical Society,"Tuomainen, Ulla and Candolin, Ulrika","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest,not primary"
rayyan-364025674,Urban cycles of human activity do not significantly alter the behaviour of a duetting bird,IBIS,"Diniz, Pedro and Silva-Jr, Edvaldo F. and Macedo, Regina H.","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest,not in the specified geographical location"
rayyan-364025796,Strategies of song adaptation to urban noise in the house finch: syllable pitch plasticity or differential syllable use?,BEHAVIOUR,"Bermudez-Cuamatzin, Eira and Ariel Rios-Chelen, Alej and ro and Gil, Diego and Macias Garcia, Constantino","RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest,not in the specified geographical location"
